SMARTS	Target	Training LR
CCCNCN	INACTIVE	2.09
NC(C)(C)C	INACTIVE	2.41
N2CCOCC2	INACTIVE	2.52
CCC=Cc1ccccc1	INACTIVE	1.35
Cc1ccccc1CN	INACTIVE	3.26
NCCCCCCN	INACTIVE	2.52
CC(=O)NC(=O)	INACTIVE	3.19
CCOCN	INACTIVE	1.81
CCCc1c[nH]c2ccccc12	INACTIVE	1.35
CC(=O)NCCCC	ACTIVE	1.25
n1cccc1	INACTIVE	3.16
C=CCNC	INACTIVE	2.25
CCc1ccccc1N	INACTIVE	3.87
CCc1ccc(C)cc1	INACTIVE	2.36
CCCCCC(=O)N	INACTIVE	2.25
CCCCCCCCCCCN	INACTIVE	1.42
CCC(c1ccc(O)cc1C)	ACTIVE	7.16
CCc1ccccc1O	INACTIVE	8.30
CCc1ccc(O)c(O)c1	INACTIVE	2.57
CCCCCCCCN	INACTIVE	2.41
C=S	INACTIVE	2.63
CC=CCO	INACTIVE	2.24
N(CCCC)CCCC	INACTIVE	2.97
CCN(CCN)c1ccccc1	ACTIVE	2.39
Cc1ccc(N(C))cc1	INACTIVE	1.85
NCCCCCCO	ACTIVE	1.64
Cc1ccncc1	INACTIVE	1.12
C=COC	INACTIVE	1.60
N=N	ACTIVE	2.35
c1ccc2ccccc2o1	ACTIVE	2.61
c1cccc(C(=O)c2ccccc2)c1	ACTIVE	1.98
Oc1ccc(Cc2ccccc2)cc1	INACTIVE	1.93
C(=O)NCCO	ACTIVE	1.08
CCS	INACTIVE	1.83
C(N)C(=O)O	INACTIVE	1.17
CC(C)N(C)C	INACTIVE	1.14
c4ccc(I)cc4	INACTIVE	1.06
CC(N)c1ccccc1	INACTIVE	1.19
SS	INACTIVE	1.70
CCCCCCCCCCCCCCCCC	ACTIVE	19.28
S(=O)O	INACTIVE	1.84
CCCNc1ccccc1	ACTIVE	1.51
Nc1ccccc1O	INACTIVE	4.58
N(O)c1ccccc1C	INACTIVE	1.92
c1ccc(Nc2ccccc2)cc1	INACTIVE	1.85
CNN	INACTIVE	4.75
c1ccc(c2ccccc2)cc1	ACTIVE	1.45
c1ccc2ccccc2c1	INACTIVE	3.42
c1ccc(O)cc1Cl	INACTIVE	1.95
CNc1ccccc1	ACTIVE	1.06
c1nc2ccccc2s1	INACTIVE	1.06
C=N	INACTIVE	1.38
C(=O)c1ccccc1O	INACTIVE	1.36
NC(=O)c3ccccc3	INACTIVE	2.79
Nc1ccc(Cl)cc1	INACTIVE	3.09
C(O)CNC(C)C	ACTIVE	1.60
Cc1cccc(C)c1	INACTIVE	1.65
Cc1ccc(C)cc1	INACTIVE	1.16
CC(Cc1ccccc1)N	INACTIVE	1.53
CCC(C)CO	ACTIVE	7.95
CCCN(CCC)	INACTIVE	1.15
CCCOCc1ccccc1	INACTIVE	2.89
Nc2ncccn2	INACTIVE	2.70
C(NC)N	INACTIVE	1.89
NCCCO	INACTIVE	1.02
C(=O)c1ccccc1C	INACTIVE	1.25
OC(=O)CC(C)C	INACTIVE	1.02
CCCCCCOCCC	ACTIVE	5.51
C=CC(=O)OC	INACTIVE	6.53
OC(=O)C(C)C	INACTIVE	1.07
Cc1ccc(O)cc1	ACTIVE	1.10
C(=Cc1ccccc1)	INACTIVE	2.09
CNCCNC	INACTIVE	1.60
C(=O)O	ACTIVE	1.47
CCCc1ccccc1	INACTIVE	1.03
C#N	INACTIVE	1.75
c1c[nH]cn1	INACTIVE	1.61
COCCOC	INACTIVE	1.12
OCc1ccccc1	INACTIVE	1.54
[N+](C)	INACTIVE	2.45
Cc3ccccn3	INACTIVE	4.26
CCN(CC)CC	INACTIVE	2.09
Cc1ccccc1O	INACTIVE	1.84
c1ccc(C)c(Cl)c1	INACTIVE	2.70
NN	INACTIVE	2.77
CC(=CCCCC=O)	INACTIVE	1.61
CCCN(C)C	INACTIVE	1.52
C=O	ACTIVE	1.56
c1ccc(S)cc1	INACTIVE	2.13
CF	ACTIVE	4.73
NO	INACTIVE	2.34
C(Cl)Cl	INACTIVE	4.19
C(CC)CCCC	ACTIVE	3.86
CBr	INACTIVE	3.12
CC	ACTIVE	1.16
Cc1ccccc1	INACTIVE	1.35
c3ccncc3	INACTIVE	1.38
NC	INACTIVE	1.61
c2nc3ccccc3o2	INACTIVE	inf
FB(F)	INACTIVE	inf
Clc1cc(Cl)c(Cl)cc1Cl	INACTIVE	inf
c1c(O)cc(O)cc1O	INACTIVE	inf
Pc1ccccc1	INACTIVE	inf
O=[Cr]O[Cr](=O)	INACTIVE	inf
C(=CCl)Cl	INACTIVE	inf
[As](=O)(O)	INACTIVE	inf
O=[Se]	INACTIVE	inf
